person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
21.0,9600.0,OWN,5.0,EDUCATION,B,1000.0,11.14,0,0.1,N,2.0
25.0,9600.0,MORTGAGE,1.0,MEDICAL,C,5500.0,12.87,1,0.57,N,3.0
23.0,65500.0,RENT,4.0,MEDICAL,C,35000.0,15.23,1,0.53,N,2.0
24.0,54400.0,RENT,8.0,MEDICAL,C,35000.0,14.27,1,0.55,Y,4.0
21.0,9900.0,OWN,2.0,VENTURE,A,2500.0,7.14,1,0.25,N,2.0
26.0,77100.0,RENT,8.0,EDUCATION,B,35000.0,12.42,1,0.45,N,3.0
24.0,78956.0,RENT,5.0,MEDICAL,B,35000.0,11.11,1,0.44,N,4.0
24.0,83000.0,RENT,8.0,PERSONAL,A,35000.0,8.9,1,0.42,N,2.0
21.0,10000.0,OWN,6.0,VENTURE,D,1600.0,14.74,1,0.16,N,3.0
22.0,85000.0,RENT,6.0,VENTURE,B,35000.0,10.37,1,0.41,N,4.0
21.0,10000.0,OWN,2.0,HOMEIMPROVEMENT,A,4500.0,8.63,1,0.45,N,2.0
23.0,95000.0,RENT,2.0,VENTURE,A,35000.0,7.9,1,0.37,N,2.0
26.0,108160.0,RENT,4.0,EDUCATION,E,35000.0,18.39,1,0.32,N,4.0
23.0,115000.0,RENT,2.0,EDUCATION,A,35000.0,7.9,0,0.3,N,4.0
23.0,225000.0,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000.0,10.65,0,0.06,N,3.0
23.0,120000.0,RENT,0.0,EDUCATION,A,35000.0,7.9,0,0.29,N,4.0
23.0,92111.0,RENT,7.0,MEDICAL,F,35000.0,20.25,1,0.32,N,4.0
23.0,113000.0,RENT,8.0,DEBTCONSOLIDATION,D,35000.0,18.25,1,0.31,N,4.0
24.0,10800.0,MORTGAGE,8.0,EDUCATION,B,1750.0,10.99,1,0.16,N,2.0
25.0,162500.0,RENT,2.0,VENTURE,A,35000.0,7.49,0,0.22,N,4.0
25.0,137000.0,RENT,9.0,PERSONAL,E,34800.0,16.77,0,0.25,Y,2.0
22.0,65000.0,RENT,4.0,EDUCATION,D,34000.0,17.58,1,0.52,N,4.0
24.0,10980.0,OWN,0.0,PERSONAL,A,1500.0,7.29,0,0.14,N,3.0
22.0,80000.0,RENT,3.0,PERSONAL,D,33950.0,14.54,1,0.42,Y,4.0
24.0,67746.0,RENT,8.0,HOMEIMPROVEMENT,C,33000.0,12.68,1,0.49,N,3.0
21.0,11000.0,MORTGAGE,3.0,VENTURE,E,4575.0,17.74,1,0.42,Y,3.0
23.0,11000.0,OWN,0.0,PERSONAL,A,1400.0,9.32,0,0.13,N,3.0
24.0,65000.0,RENT,6.0,HOMEIMPROVEMENT,B,32500.0,9.99,1,0.5,N,3.0
21.0,11389.0,OTHER,5.0,EDUCATION,C,4000.0,12.84,1,0.35,Y,2.0
21.0,11520.0,OWN,5.0,MEDICAL,B,2000.0,11.12,1,0.17,N,3.0
25.0,120000.0,RENT,2.0,VENTURE,A,32000.0,6.62,0,0.27,N,2.0
26.0,95000.0,RENT,7.0,HOMEIMPROVEMENT,C,31050.0,14.17,1,0.33,Y,3.0
25.0,225000.0,RENT,2.0,DEBTCONSOLIDATION,C,24250.0,13.85,0,0.08,N,3.0
26.0,225000.0,MORTGAGE,10.0,MEDICAL,C,7800.0,13.49,0,0.03,N,4.0
21.0,12000.0,OWN,5.0,EDUCATION,A,2500.0,7.51,1,0.21,N,4.0
22.0,48000.0,RENT,1.0,EDUCATION,E,30000.0,18.39,1,0.63,N,2.0
24.0,64000.0,RENT,8.0,DEBTCONSOLIDATION,D,30000.0,14.54,1,0.47,Y,3.0
25.0,75000.0,RENT,4.0,HOMEIMPROVEMENT,D,30000.0,16.89,1,0.4,Y,4.0
23.0,71500.0,RENT,3.0,DEBTCONSOLIDATION,D,30000.0,11.178,1,0.42,N,4.0
26.0,62050.0,RENT,6.0,MEDICAL,E,30000.0,17.99,1,0.41,N,2.0
24.0,12000.0,OWN,4.0,VENTURE,B,2500.0,12.69,1,0.21,N,3.0
26.0,225000.0,MORTGAGE,10.0,VENTURE,A,20000.0,7.88,0,0.07,N,4.0
23.0,225000.0,OWN,1.0,EDUCATION,F,24250.0,19.41,0,0.08,Y,2.0
26.0,225000.0,OWN,9.0,HOMEIMPROVEMENT,B,10000.0,10.38,0,0.03,N,4.0
26.0,225000.0,MORTGAGE,0.0,EDUCATION,D,25000.0,15.33,0,0.08,N,3.0
25.0,225000.0,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000.0,16.45,0,0.06,N,3.0
26.0,80690.0,RENT,8.0,PERSONAL,A,30000.0,7.49,1,0.37,N,3.0
22.0,66300.0,RENT,4.0,MEDICAL,B,30000.0,12.69,1,0.38,N,3.0
26.0,89028.0,RENT,0.0,DEBTCONSOLIDATION,A,30000.0,6.62,1,0.34,N,3.0
24.0,78000.0,RENT,4.0,DEBTCONSOLIDATION,D,30000.0,13.030000000000001,1,0.38,Y,4.0
