person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,age_group,income_group,loan_amount_group,total_loan_cost,disposable_income_est,emp_to_age_ratio,cred_hist_to_age_ratio,high_risk_flag
21.0,9600.0,OWN,5.0,EDUCATION,B,1000.0,11.14,0,0.1,N,2.0,20-25,low,small,1111.3999999999999,8600.0,0.23809523809523808,0.09523809523809523,0
25.0,9600.0,MORTGAGE,1.0,MEDICAL,C,5500.0,12.87,1,0.57,N,3.0,20-25,low,medium,6207.85,4100.0,0.04,0.12,0
23.0,65500.0,RENT,4.0,MEDICAL,C,35000.0,15.23,1,0.53,N,2.0,20-25,middle,very large,40330.49999999999,30500.0,0.17391304347826086,0.08695652173913043,0
24.0,54400.0,RENT,8.0,MEDICAL,C,35000.0,14.27,1,0.55,Y,4.0,20-25,middle,very large,39994.5,19400.0,0.3333333333333333,0.16666666666666666,1
21.0,9900.0,OWN,2.0,VENTURE,A,2500.0,7.14,1,0.25,N,2.0,20-25,low,small,2678.4999999999995,7400.0,0.09523809523809523,0.09523809523809523,0
26.0,77100.0,RENT,8.0,EDUCATION,B,35000.0,12.42,1,0.45,N,3.0,20-25,high-middle,very large,39347.0,42100.0,0.3076923076923077,0.11538461538461539,0
24.0,78956.0,RENT,5.0,MEDICAL,B,35000.0,11.11,1,0.44,N,4.0,20-25,high-middle,very large,38888.5,43956.0,0.20833333333333334,0.16666666666666666,0
24.0,83000.0,RENT,8.0,PERSONAL,A,35000.0,8.9,1,0.42,N,2.0,20-25,high-middle,very large,38115.0,48000.0,0.3333333333333333,0.08333333333333333,0
21.0,10000.0,OWN,6.0,VENTURE,D,1600.0,14.74,1,0.16,N,3.0,20-25,low,small,1835.84,8400.0,0.2857142857142857,0.14285714285714285,0
22.0,85000.0,RENT,6.0,VENTURE,B,35000.0,10.37,1,0.41,N,4.0,20-25,high-middle,very large,38629.5,50000.0,0.2727272727272727,0.18181818181818182,0
21.0,10000.0,OWN,2.0,HOMEIMPROVEMENT,A,4500.0,8.63,1,0.45,N,2.0,20-25,low,small,4888.35,5500.0,0.09523809523809523,0.09523809523809523,0
23.0,95000.0,RENT,2.0,VENTURE,A,35000.0,7.9,1,0.37,N,2.0,20-25,high-middle,very large,37765.0,60000.0,0.08695652173913043,0.08695652173913043,0
26.0,108160.0,RENT,4.0,EDUCATION,E,35000.0,18.39,1,0.32,N,4.0,20-25,high,very large,41436.5,73160.0,0.15384615384615385,0.15384615384615385,0
23.0,115000.0,RENT,2.0,EDUCATION,A,35000.0,7.9,0,0.3,N,4.0,20-25,high,very large,37765.0,80000.0,0.08695652173913043,0.17391304347826086,0
23.0,225000.0,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000.0,10.65,0,0.06,N,3.0,20-25,high,very large,33195.0,195000.0,0.30434782608695654,0.13043478260869565,0
23.0,120000.0,RENT,0.0,EDUCATION,A,35000.0,7.9,0,0.29,N,4.0,20-25,high,very large,37765.0,85000.0,0.0,0.17391304347826086,0
23.0,92111.0,RENT,7.0,MEDICAL,F,35000.0,20.25,1,0.32,N,4.0,20-25,high-middle,very large,42087.50000000001,57111.0,0.30434782608695654,0.17391304347826086,0
23.0,113000.0,RENT,8.0,DEBTCONSOLIDATION,D,35000.0,18.25,1,0.31,N,4.0,20-25,high,very large,41387.50000000001,78000.0,0.34782608695652173,0.17391304347826086,0
24.0,10800.0,MORTGAGE,8.0,EDUCATION,B,1750.0,10.99,1,0.16,N,2.0,20-25,low,small,1942.3250000000003,9050.0,0.3333333333333333,0.08333333333333333,0
25.0,162500.0,RENT,2.0,VENTURE,A,35000.0,7.49,0,0.22,N,4.0,20-25,high,very large,37621.5,127500.0,0.08,0.16,0
25.0,137000.0,RENT,9.0,PERSONAL,E,34800.0,16.77,0,0.25,Y,2.0,20-25,high,very large,40635.96,102200.0,0.36,0.08,0
22.0,65000.0,RENT,4.0,EDUCATION,D,34000.0,17.58,1,0.52,N,4.0,20-25,middle,very large,39977.2,31000.0,0.18181818181818182,0.18181818181818182,0
24.0,10980.0,OWN,0.0,PERSONAL,A,1500.0,7.29,0,0.14,N,3.0,20-25,low,small,1609.35,9480.0,0.0,0.125,0
22.0,80000.0,RENT,3.0,PERSONAL,D,33950.0,14.54,1,0.42,Y,4.0,20-25,high-middle,very large,38886.33,46050.0,0.13636363636363635,0.18181818181818182,1
24.0,67746.0,RENT,8.0,HOMEIMPROVEMENT,C,33000.0,12.68,1,0.49,N,3.0,20-25,middle,very large,37184.4,34746.0,0.3333333333333333,0.125,0
21.0,11000.0,MORTGAGE,3.0,VENTURE,E,4575.0,17.74,1,0.42,Y,3.0,20-25,low,small,5386.605,6425.0,0.14285714285714285,0.14285714285714285,1
23.0,11000.0,OWN,0.0,PERSONAL,A,1400.0,9.32,0,0.13,N,3.0,20-25,low,small,1530.48,9600.0,0.0,0.13043478260869565,0
24.0,65000.0,RENT,6.0,HOMEIMPROVEMENT,B,32500.0,9.99,1,0.5,N,3.0,20-25,middle,very large,35746.75,32500.0,0.25,0.125,0
21.0,11389.0,OTHER,5.0,EDUCATION,C,4000.0,12.84,1,0.35,Y,2.0,20-25,low,small,4513.6,7389.0,0.23809523809523808,0.09523809523809523,0
21.0,11520.0,OWN,5.0,MEDICAL,B,2000.0,11.12,1,0.17,N,3.0,20-25,low,small,2222.4,9520.0,0.23809523809523808,0.14285714285714285,0
25.0,120000.0,RENT,2.0,VENTURE,A,32000.0,6.62,0,0.27,N,2.0,20-25,high,very large,34118.4,88000.0,0.08,0.08,0
26.0,95000.0,RENT,7.0,HOMEIMPROVEMENT,C,31050.0,14.17,1,0.33,Y,3.0,20-25,high-middle,very large,35449.784999999996,63950.0,0.2692307692307692,0.11538461538461539,0
25.0,225000.0,RENT,2.0,DEBTCONSOLIDATION,C,24250.0,13.85,0,0.08,N,3.0,20-25,high,very large,27608.625,200750.0,0.08,0.12,0
26.0,225000.0,MORTGAGE,10.0,MEDICAL,C,7800.0,13.49,0,0.03,N,4.0,20-25,high,medium,8852.22,217200.0,0.38461538461538464,0.15384615384615385,0
21.0,12000.0,OWN,5.0,EDUCATION,A,2500.0,7.51,1,0.21,N,4.0,20-25,low,small,2687.75,9500.0,0.23809523809523808,0.19047619047619047,0
22.0,48000.0,RENT,1.0,EDUCATION,E,30000.0,18.39,1,0.63,N,2.0,20-25,low-middle,very large,35517.0,18000.0,0.045454545454545456,0.09090909090909091,0
24.0,64000.0,RENT,8.0,DEBTCONSOLIDATION,D,30000.0,14.54,1,0.47,Y,3.0,20-25,middle,very large,34362.0,34000.0,0.3333333333333333,0.125,1
25.0,75000.0,RENT,4.0,HOMEIMPROVEMENT,D,30000.0,16.89,1,0.4,Y,4.0,20-25,middle,very large,35067.0,45000.0,0.16,0.16,1
23.0,71500.0,RENT,3.0,DEBTCONSOLIDATION,D,30000.0,11.178,1,0.42,N,4.0,20-25,middle,very large,33353.4,41500.0,0.13043478260869565,0.17391304347826086,0
26.0,62050.0,RENT,6.0,MEDICAL,E,30000.0,17.99,1,0.41,N,2.0,20-25,middle,very large,35397.0,32050.0,0.23076923076923078,0.07692307692307693,0
24.0,12000.0,OWN,4.0,VENTURE,B,2500.0,12.69,1,0.21,N,3.0,20-25,low,small,2817.25,9500.0,0.16666666666666666,0.125,0
26.0,225000.0,MORTGAGE,10.0,VENTURE,A,20000.0,7.88,0,0.07,N,4.0,20-25,high,very large,21576.0,205000.0,0.38461538461538464,0.15384615384615385,0
23.0,225000.0,OWN,1.0,EDUCATION,F,24250.0,19.41,0,0.08,Y,2.0,20-25,high,very large,28956.925,200750.0,0.043478260869565216,0.08695652173913043,0
26.0,225000.0,OWN,9.0,HOMEIMPROVEMENT,B,10000.0,10.38,0,0.03,N,4.0,20-25,high,medium,11038.000000000002,215000.0,0.34615384615384615,0.15384615384615385,0
26.0,225000.0,MORTGAGE,0.0,EDUCATION,D,25000.0,15.33,0,0.08,N,3.0,20-25,high,very large,28832.5,200000.0,0.0,0.11538461538461539,0
25.0,225000.0,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000.0,16.45,0,0.06,N,3.0,20-25,high,very large,20960.999999999996,207000.0,0.36,0.12,0
26.0,80690.0,RENT,8.0,PERSONAL,A,30000.0,7.49,1,0.37,N,3.0,20-25,high-middle,very large,32247.0,50690.0,0.3076923076923077,0.11538461538461539,0
22.0,66300.0,RENT,4.0,MEDICAL,B,30000.0,12.69,1,0.38,N,3.0,20-25,middle,very large,33807.0,36300.0,0.18181818181818182,0.13636363636363635,0
26.0,89028.0,RENT,0.0,DEBTCONSOLIDATION,A,30000.0,6.62,1,0.34,N,3.0,20-25,high-middle,very large,31986.0,59028.0,0.0,0.11538461538461539,0
24.0,78000.0,RENT,4.0,DEBTCONSOLIDATION,D,30000.0,13.030000000000001,1,0.38,Y,4.0,20-25,high-middle,very large,33909.0,48000.0,0.16666666666666666,0.16666666666666666,1
23.0,78000.0,RENT,7.0,DEBTCONSOLIDATION,F,30000.0,18.62,1,0.38,Y,3.0,20-25,high-middle,very large,35586.0,48000.0,0.30434782608695654,0.13043478260869565,1
23.0,92004.0,RENT,6.0,PERSONAL,C,30000.0,15.23,1,0.33,Y,3.0,20-25,high-middle,very large,34569.0,62004.0,0.2608695652173913,0.13043478260869565,0
23.0,97000.0,RENT,7.0,VENTURE,B,30000.0,10.65,1,0.31,N,2.0,20-25,high-middle,very large,33195.0,67000.0,0.30434782608695654,0.08695652173913043,0
25.0,120000.0,RENT,9.0,EDUCATION,A,30000.0,7.9,0,0.25,N,4.0,20-25,high,very large,32370.0,90000.0,0.36,0.16,0
26.0,225000.0,RENT,4.0,PERSONAL,C,10000.0,15.96,0,0.04,Y,3.0,20-25,high,medium,11596.0,215000.0,0.15384615384615385,0.11538461538461539,0
26.0,225000.0,RENT,0.0,VENTURE,B,20000.0,11.48,0,0.07,N,3.0,20-25,high,very large,22296.0,205000.0,0.0,0.11538461538461539,0
23.0,225000.0,OWN,3.0,PERSONAL,A,35000.0,14.86,0,0.13,N,4.0,20-25,high,very large,40201.0,190000.0,0.13043478260869565,0.17391304347826086,0
25.0,128000.0,RENT,9.0,PERSONAL,A,30000.0,7.29,0,0.23,N,4.0,20-25,high,very large,32187.0,98000.0,0.36,0.16,0
24.0,12000.0,OWN,2.0,VENTURE,E,1750.0,12.022,0,0.15,Y,3.0,20-25,low,small,1960.385,10250.0,0.08333333333333333,0.125,0
21.0,131000.0,RENT,0.0,VENTURE,A,30000.0,5.99,0,0.23,N,4.0,20-25,high,very large,31797.000000000004,101000.0,0.0,0.19047619047619047,0
22.0,225000.0,OWN,6.0,VENTURE,B,12000.0,11.58,0,0.04,N,2.0,20-25,high,large,13389.599999999999,213000.0,0.2727272727272727,0.09090909090909091,0
26.0,225000.0,MORTGAGE,0.0,EDUCATION,B,10000.0,7.784000000000001,1,0.04,N,4.0,20-25,high,medium,10778.4,215000.0,0.0,0.15384615384615385,0
25.0,221850.0,MORTGAGE,9.0,MEDICAL,D,25000.0,15.7,1,0.1,N,2.0,20-25,high,very large,28925.0,196850.0,0.36,0.08,0
22.0,70000.0,RENT,6.0,EDUCATION,D,29100.0,15.99,1,0.42,N,3.0,20-25,middle,very large,33753.09,40900.0,0.2727272727272727,0.13636363636363635,0
22.0,12000.0,MORTGAGE,7.0,EDUCATION,D,1500.0,14.84,0,0.13,Y,3.0,20-25,low,small,1722.6000000000001,10500.0,0.3181818181818182,0.13636363636363635,0
26.0,225000.0,OWN,10.0,HOMEIMPROVEMENT,B,28000.0,10.99,0,0.11,N,3.0,20-25,high,very large,31077.200000000004,197000.0,0.38461538461538464,0.11538461538461539,0
25.0,225000.0,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000.0,14.42,0,0.08,Y,2.0,20-25,high,very large,22884.000000000004,205000.0,0.36,0.08,0
24.0,225000.0,MORTGAGE,9.0,EDUCATION,A,9600.0,6.99,0,0.04,N,2.0,20-25,high,medium,10271.04,215400.0,0.375,0.08333333333333333,0
25.0,225000.0,RENT,2.0,MEDICAL,C,25000.0,13.49,0,0.1,N,4.0,20-25,high,very large,28372.5,200000.0,0.08,0.16,0
25.0,12000.0,OWN,0.0,MEDICAL,C,3000.0,9.782,1,0.25,N,3.0,20-25,low,small,3293.46,9000.0,0.0,0.12,0
22.0,56950.0,RENT,6.0,MEDICAL,A,28000.0,15.11,1,0.49,N,2.0,20-25,middle,very large,32230.8,28950.0,0.2727272727272727,0.09090909090909091,0
21.0,12000.0,OWN,6.0,EDUCATION,C,3000.0,13.61,1,0.25,Y,3.0,20-25,low,small,3408.2999999999997,9000.0,0.2857142857142857,0.14285714285714285,0
23.0,65000.0,RENT,2.0,EDUCATION,A,28000.0,7.9,1,0.43,N,2.0,20-25,middle,very large,30212.0,37000.0,0.08695652173913043,0.08695652173913043,0
26.0,85000.0,RENT,2.0,VENTURE,A,28000.0,7.49,1,0.33,N,3.0,20-25,high-middle,very large,30097.2,57000.0,0.07692307692307693,0.11538461538461539,0
26.0,12000.0,OWN,2.0,EDUCATION,A,6100.0,7.51,1,0.51,N,3.0,20-25,low,medium,6558.11,5900.0,0.07692307692307693,0.11538461538461539,0
22.0,88000.0,RENT,6.0,VENTURE,B,28000.0,9.91,1,0.32,N,3.0,20-25,high-middle,very large,30774.8,60000.0,0.2727272727272727,0.13636363636363635,0
21.0,12000.0,OWN,0.0,PERSONAL,C,4200.0,13.48,1,0.35,Y,4.0,20-25,low,small,4766.16,7800.0,0.0,0.19047619047619047,0
22.0,12000.0,OWN,6.0,DEBTCONSOLIDATION,A,4750.0,7.14,1,0.4,N,2.0,20-25,low,small,5089.15,7250.0,0.2727272727272727,0.09090909090909091,0
24.0,83004.0,RENT,0.0,VENTURE,D,28000.0,15.99,1,0.34,Y,4.0,20-25,high-middle,very large,32477.199999999997,55004.0,0.0,0.16666666666666666,0
24.0,225000.0,RENT,2.0,EDUCATION,C,18000.0,12.98,0,0.07,Y,3.0,20-25,high,very large,20336.399999999998,207000.0,0.08333333333333333,0.125,0
25.0,100000.0,RENT,5.0,DEBTCONSOLIDATION,B,28000.0,12.69,0,0.28,N,3.0,20-25,high-middle,very large,31553.2,72000.0,0.2,0.12,0
26.0,110000.0,RENT,10.0,EDUCATION,A,28000.0,8.9,0,0.25,N,2.0,20-25,high,very large,30492.0,82000.0,0.38461538461538464,0.07692307692307693,0
26.0,12000.0,OWN,0.0,DEBTCONSOLIDATION,A,2700.0,11.297999999999998,1,0.23,N,4.0,20-25,low,small,3005.0460000000003,9300.0,0.0,0.15384615384615385,0
22.0,108000.0,RENT,6.0,EDUCATION,B,28000.0,9.656000000000002,1,0.26,N,4.0,20-25,high,very large,30703.68,80000.0,0.2727272727272727,0.18181818181818182,0
23.0,151200.0,RENT,7.0,DEBTCONSOLIDATION,B,28000.0,11.11,0,0.19,N,2.0,20-25,high,very large,31110.8,123200.0,0.30434782608695654,0.08695652173913043,0
24.0,69000.0,RENT,2.0,HOMEIMPROVEMENT,A,27600.0,13.88,1,0.4,N,2.0,20-25,middle,very large,31430.88,41400.0,0.08333333333333333,0.08333333333333333,0
21.0,12000.0,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250.0,15.68,1,0.27,Y,3.0,20-25,low,small,3759.6000000000004,8750.0,0.23809523809523808,0.14285714285714285,0
22.0,70000.0,RENT,4.0,EDUCATION,C,27500.0,13.06,1,0.39,Y,3.0,20-25,middle,very large,31091.5,42500.0,0.18181818181818182,0.13636363636363635,1
22.0,225000.0,OWN,6.0,PERSONAL,B,25000.0,12.968,0,0.1,N,2.0,20-25,high,very large,28242.0,200000.0,0.2727272727272727,0.09090909090909091,0
26.0,73200.0,RENT,5.0,VENTURE,D,27050.0,15.62,1,0.37,Y,2.0,20-25,middle,very large,31275.210000000003,46150.0,0.19230769230769232,0.07692307692307693,1
24.0,83000.0,RENT,5.0,PERSONAL,C,27000.0,13.49,1,0.33,Y,2.0,20-25,high-middle,very large,30642.3,56000.0,0.20833333333333334,0.08333333333333333,0
24.0,73399.0,RENT,0.0,VENTURE,D,27000.0,16.310000000000002,1,0.37,N,3.0,20-25,middle,very large,31403.7,46399.0,0.0,0.125,0
23.0,62500.0,RENT,7.0,MEDICAL,B,26000.0,11.71,1,0.42,N,2.0,20-25,middle,very large,29044.6,36500.0,0.30434782608695654,0.08695652173913043,0
23.0,120000.0,RENT,1.0,EDUCATION,B,25600.0,12.69,0,0.21,N,3.0,20-25,high,very large,28848.64,94400.0,0.043478260869565216,0.13043478260869565,0
